time, Quad.Est.E.Yaw
2.035035,-0.032692
2.040035,-0.036211
2.045034,-0.036530
2.050034,-0.043345
2.055033,-0.044137
2.060033,-0.052882
2.065033,-0.051975
2.070032,-0.044166
2.075032,-0.046274
2.080032,-0.041678
2.085031,-0.041231
2.090031,-0.064221
2.095031,-0.065448
2.100030,-0.047111
2.105030,-0.048002
2.110029,-0.048759
2.115029,-0.047058
2.120029,-0.029411
2.125028,-0.028186
2.130028,-0.035193
2.135028,-0.033150
2.140027,-0.040221
2.145027,-0.038137
2.150027,-0.033874
2.155026,-0.031031
2.160026,-0.035161
2.165025,-0.038025
2.170025,-0.029736
2.175025,-0.033585
2.180024,-0.036645
2.185024,-0.036175
2.190024,-0.033494
2.195023,-0.035577
2.200023,-0.031106
2.205023,-0.030784
2.210022,-0.028603
2.215022,-0.027503
2.220021,-0.027580
2.225021,-0.030689
2.230021,-0.016362
2.235020,-0.018728
2.240020,-0.027131
2.245020,-0.027444
2.250019,-0.020886
2.255019,-0.020852
2.260019,-0.032155
2.265018,-0.029479
2.270018,-0.027240
2.275017,-0.025810
2.280017,-0.015878
2.285017,-0.018162
2.290016,-0.022699
2.295016,-0.023451
2.300016,-0.014727
2.305015,-0.013770
2.310015,-0.019829
2.315015,-0.017559
2.320014,-0.006027
2.325014,-0.002361
2.330014,0.006666
2.335013,0.008016
2.340013,0.008820
2.345012,0.010959
2.350012,0.000346
2.355012,-0.001746
2.360011,0.000217
2.365011,-0.002347
2.370011,0.000867
2.375010,0.000145
2.380010,0.009850
2.385010,0.009241
2.390009,-0.006139
2.395009,-0.006160
2.400008,0.004302
2.405008,0.002426
2.410008,-0.000196
2.415007,-0.000241
2.420007,-0.009809
2.425007,-0.011737
2.430006,-0.013240
2.435006,-0.012989
2.440006,-0.025299
2.445005,-0.028945
2.450005,-0.033716
2.455004,-0.033030
2.460004,-0.017303
2.465004,-0.015286
2.470003,-0.017302
2.475003,-0.017733
2.480003,-0.010561
2.485002,-0.009901
2.490002,-0.022426
2.495002,-0.023686
2.500001,-0.016204
2.505001,-0.015551
2.510000,-0.009114
2.515000,-0.008196
2.520000,-0.005272
2.524999,-0.005933
2.529999,-0.008751
2.534999,-0.008587
2.539998,-0.004556
2.544998,-0.004833
2.549998,0.008204
2.554997,0.007159
2.559997,0.008779
2.564996,0.010735
2.569996,0.011035
2.574996,0.009319
2.579995,-0.001451
2.584995,-0.001966
2.589995,-0.005809
2.594994,-0.008281
2.599994,0.003472
2.604994,0.004562
2.609993,0.002168
2.614993,0.001948
2.619992,0.010354
2.624992,0.008289
2.629992,0.018521
2.634991,0.014882
2.639991,0.030251
2.644991,0.031976
2.649990,0.026263
2.654990,0.027766
2.659990,0.034790
2.664989,0.033488
2.669989,0.037785
