time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
1.190000,0.035738,0.021756,0.000931
1.195000,nan,0.021080,0.000892
1.200000,-0.153230,0.009273,0.000854
1.205000,nan,0.008963,0.000818
1.210001,-0.115533,-0.000398,0.000787
1.215001,nan,-0.001464,0.000764
1.220001,0.092129,0.005417,0.000745
1.225001,nan,0.004212,0.000727
1.230001,-0.122067,-0.008010,0.000708
1.235002,nan,-0.006846,0.000691
1.240002,-0.150865,-0.018218,0.000673
1.245002,nan,-0.020110,0.000652
1.250002,-0.128653,-0.028643,0.000628
1.255003,nan,-0.026232,0.000603
1.260003,0.147022,-0.014010,0.000575
1.265003,nan,-0.014464,0.000541
1.270003,0.039920,-0.010443,0.000501
1.275004,nan,-0.008260,0.000459
1.280004,0.102997,0.003600,0.000414
1.285004,nan,0.005571,0.000368
1.290004,-0.152333,-0.006370,0.000322
1.295004,nan,-0.005112,0.000274
1.300005,-0.072233,-0.009508,0.000223
1.305005,nan,-0.010494,0.000172
1.310005,-0.040986,-0.011931,0.000126
1.315005,nan,-0.010346,0.000082
1.320006,-0.035558,-0.014913,0.000036
1.325006,nan,-0.014211,-0.000012
1.330006,0.108640,-0.004127,-0.000053
1.335006,nan,-0.003792,-0.000091
1.340007,-0.037259,-0.008888,-0.000131
1.345007,nan,-0.010535,-0.000175
1.350007,0.043753,-0.004013,-0.000215
1.355007,nan,-0.004484,-0.000255
1.360008,0.100430,0.002700,-0.000298
1.365008,nan,0.002262,-0.000339
1.370008,0.029803,0.005496,-0.000376
1.375008,nan,0.003762,-0.000411
1.380008,0.125273,0.012426,-0.000446
1.385009,nan,0.011233,-0.000482
1.390009,-0.039863,0.008995,-0.000515
1.395009,nan,0.008583,-0.000543
1.400009,0.095784,0.017707,-0.000566
1.405010,nan,0.017557,-0.000584
1.410010,0.014694,0.016849,-0.000599
1.415010,nan,0.017871,-0.000614
1.420010,-0.071369,0.009846,-0.000627
1.425011,nan,0.009985,-0.000640
1.430011,-0.085144,0.000874,-0.000654
1.435011,nan,0.001058,-0.000669
1.440011,-0.112209,-0.008623,-0.000681
1.445011,nan,-0.010823,-0.000687
1.450012,-0.003408,-0.010004,-0.000690
1.455012,nan,-0.010685,-0.000694
1.460012,-0.094288,-0.017318,-0.000698
1.465012,nan,-0.019124,-0.000697
1.470013,-0.065387,-0.022460,-0.000690
1.475013,nan,-0.025133,-0.000678
1.480013,0.027087,-0.020707,-0.000658
1.485013,nan,-0.019904,-0.000635
1.490014,0.233643,-0.003130,-0.000603
1.495014,nan,-0.002237,-0.000565
1.500014,0.039013,0.001682,-0.000523
1.505014,nan,0.002631,-0.000480
1.510015,0.131078,0.012583,-0.000435
1.515015,nan,0.014163,-0.000389
1.520015,0.004032,0.015083,-0.000342
1.525015,nan,0.014765,-0.000292
1.530015,0.033398,0.017168,-0.000238
1.535016,nan,0.015744,-0.000177
1.540016,-0.131630,0.004894,-0.000115
1.545016,nan,0.003875,-0.000052
1.550016,-0.081695,-0.002740,0.000015
1.555017,nan,-0.002453,0.000085
1.560017,0.012144,-0.003183,0.000154
1.565017,nan,-0.002387,0.000221
1.570017,-0.088395,-0.009795,0.000285
1.575018,nan,-0.011009,0.000345
1.580018,0.195121,0.005139,0.000398
1.585018,nan,0.007521,0.000448
1.590018,-0.186944,-0.006395,0.000493
1.595019,nan,-0.005866,0.000535
1.600019,-0.064845,-0.010250,0.000578
1.605019,nan,-0.008458,0.000626
1.610019,-0.063772,-0.012591,0.000678
1.615019,nan,-0.011747,0.000732
1.620020,-0.022975,-0.013620,0.000787
1.625020,nan,-0.010804,0.000840
1.630020,-0.010666,-0.011493,0.000893
1.635020,nan,-0.013014,0.000951
